ષ
ષંડ
ષંડક
ષંઢ
ષંધાર
ષકાર
ષકારાંત
ષટ
ષટપદેરિત
ષટરસ
ષટ્ક
ષટ્કર્ણ
ષટ્કર્ણી
ષટ્કર્મ
ષટ્કર્મા
ષટ્કોણ
ષટ્કોણાકાર
ષટ્કોણાકૃતિ
ષટ્કોણી
ષટ્ક્રિયા
ષટ્ચક્ર
ષટ્ચક્રી
ષટ્ચરણ
ષટ્ચરણી
ષટ્જીવકાય
ષટ્તિલા એકાદશી
ષટ્તિલી
ષટ્દર્શન
ષટ્દારુ
ષટ્પદ
ષટ્પદપ્રિય
ષટ્પદવત્
ષટ્પદા
ષટ્પદાર્થવાદ
ષટ્પદી
ષટ્પદીછપ્પય
ષટ્પદીવિદ્યા
ષટ્પિતાપુત્રક
ષટ્પ્રજ્ઞ
ષટ્પ્રમાણ
ષટ્પ્રાણકરણ
ષટ્પ્રાણહરણ
ષટ્ભગ
ષટ્મંજરી
ષટ્લિંગ
ષટ્શાસ્ત્ર
ષટ્સંપત્તિ
ષટ્સંવત્સર
ષટ્સ્થલ
ષડ
ષડંગ
ષડકીબંધ
ષડક્ષરીમહાવિદ્યા
ષડગ્રંથ
ષડગ્રંથા
ષડગ્રંથિક
ષડગ્રંથિકા
ષડનિશ
ષડરિ
ષડષ
ષડષ્ટક
ષડાક્ષરી
ષડાનન
ષડુષ્ણ
ષડૂર્મિ
ષડ્ઋતુ
ષડ્ગવ
ષડ્ગુણ
ષડ્ગુણેશ
ષડ્ગ્રંથિ
ષડ્જ
ષડ્જગ્રામ
ષડ્જગ્રામમૂર્છના
ષડ્જપંચમભાવ
ષડ્જસાધારણ
ષડ્દર્શન
ષડ્દલચક્ર
ષડ્દુર્ગ
ષડ્દેવ
ષડ્દ્રવ્યવાદ
ષડ્ધા
ષડ્ફલક
ષડ્બિંદુ
ષડ્ભંગી
ષડ્ભાંતર
ષડ્ભાગ
ષડ્ભાવ
ષડ્ભાષા
ષડ્ભુજ
ષડ્ભુજા
ષડ્માંકડી
ષડ્યંત્ર
ષડ્રસ
ષડ્રાગ
ષડ્રિપુ
ષડ્રેખા
ષડ્લિંગ
ષડ્વદન
ષડ્વર્ગ
ષડ્વિધમાર્ગિણી
ષણ
ષણ્ણાસ્તિકમતા
ષણ્માતુર
ષણ્માસ
ષણ્મુખ
ષવા
ષષ
ષષ્ટિ
ષષ્ટિપૂર્તિ
ષષ્ઠ
ષષ્ઠક
ષષ્ઠમાસ
ષષ્ઠાંશ
ષષ્ઠાંશયંત્ર
ષષ્ઠાંશી
ષષ્ઠિતંત્ર
ષષ્ઠી
ષષ્ઠીદેવી
ષષ્ઠૌહી
ષષ્ષુ
ષષ્ષો
ષાટકૌશિક શરીર
ષાડવ
ષીરોદક
ષોડશ
ષોડશકલ
ષોડશકલા
ષોડશકળા
ષોડશચિહ્ન
ષોડશદલ
ષોડશદલચક્ર
ષોડશમાતૃકા
ષોડશિકા
ષોડશી
ષોડશોપચાર
ષોડસંસ્કાર
ષોમીય
ષ્લેષ્મ
