ઐ
ઐ ઐ
ઐં
ઐંગુદ
ઐંચ
ઐંચખૈંચ
ઐંચણ
ઐંચવું
ઐંચૂ
ઐંટ
ઐંટન
ઐંટની
ઐંટા
ઐંટૂ
ઐંઠ
ઐંઠન
ઐંઠલ
ઐંઠલાવું
ઐંઠવું
ઐંઠા
ઐંઠુ
ઐંઠૂ
ઐંઠેખાન
ઐંઠેસિંગ
ઐંડ
ઐંડવું
ઐંડા
ઐંત
ઐંતમરોડ
ઐંતવાર
ઐંદ
ઐંદવ
ઐંદવી
ઐંદુક
ઐંદ્ર
ઐંદ્રક
ઐંદ્રજાલ
ઐંદ્રજાલિક
ઐંદ્રદાહુ
ઐંદ્રદ્યમ્નિ
ઐંદ્રયોગ
ઐંદ્રલુપ્તિક
ઐંદ્રવક્ર
ઐંદ્રાગ્નિ
ઐંદ્રાયણ
ઐંદ્રાસ્ત્ર
ઐંદ્રિ
ઐંદ્રિ શક્તિ
ઐંદ્રિક વીજળી
ઐંદ્રિય
ઐંદ્રિયક
ઐંદ્રિયકર્મ
ઐંદ્રિયજ્ઞાન
ઐંદ્રી
ઐંધન
ઐંધનાગ્નિ
ઐઆમ
ઐઆશી
ઐક
ઐકપત્ય
ઐકપદિક
ઐકપદ્ય
ઐકમત્ય
ઐકરાજ્ય
ઐકલવ
ઐકલવી
ઐકલવ્ય
ઐકવિધ્ય
ઐકશતિક
ઐકશ્રુત્ય
ઐકસ્વર્ય
ઐકાંગ
ઐકાંતિક
ઐકાગ્ર
ઐકાગ્ર્ય
ઐકાત્મ્ય
ઐકાત્મ્યવાદી
ઐકાધિકરણ્ય
ઐકાન
ઐકાર
ઐકારાંત
ઐકાર્થીભાવ
ઐકાર્થ્ય
ઐકાહિક
ઐકિ
ઐકેપિ
ઐક્ય
ઐક્યતા
ઐક્યપરિષદ
ઐક્યપ્રેરક
ઐક્યભાવ
ઐક્યરેષા
ઐક્યવાદી
ઐક્ષવ
ઐક્ષવ્ય
ઐક્ષ્વાક
ઐક્ષ્વાકી
ઐક્ષ્વાકુ
ઐગુણ
ઐગુદ
ઐગુન
ઐચ્છિક
ઐજન
ઐઝન
