અ
અ-1
અ. ક્રિ.
અ.સૌ.
અ:
અં
અં:
અં:
અંઈ
અંઉ
અંક
અંકક
અંકકર
અંકકરણ
અંકકળા
અંકકાર
અંકગણના
અંકગણિત
અંકગત
અંકચાલન
અંકજાલ
અંકજ્ઞાન
અંકટા
અંકટી
અંકડી
અંકતંત્ર
અંકતિ
અંકદર્શક
અંકધર
અંકધાત્રી
અંકધારણ
અંકધારિણી
અંકધારી
અંકન
અંકનંદ
અંકનપદ્ધતિ
અંકની
અંકનીય
અંકપદ્ધતિ
અંકપરિવર્તન
અંકપાત
અંકપાલિ
અંકપાલિકા
અંકપાલી
અંકપાશ
અંકપૂરણ
અંકપૃષ્ઠ પેશી
અંકબ
અંકમાલ
અંકમાલિકા
અંકમુખ
અંકયિત્વ
અંકરજ્જૂબંધ
અંકરી
અંકરેષા
અંકલક્ષ્મી
અંકલિપિ
અંકલિપી
અંકલેખન
અંકલેશ્વર
અંકલોપ
અંકલ્લુ
અંકવાચક
અંકવાર
અંકવાહિની પેશી
અંકવિઘાવિદ્વાન
અંકવિચાર
અંકવિદ્યા
અંકવિદ્યાવિદ
અંકવિદ્યાવેત્તા
અંકવેધ
અંકવૈયા
અંકશાયિની
અંકશાયી
અંકશાસ્ત્ર
અંકશાસ્ત્રી
અંકશાસ્ત્રીય
અંકશાસ્ત્રીયપ્રણાલી
અંકશાસ્ત્રેવત્તા
અંકશિક્ષણ
અંકસ
અંકસંજ્ઞા
અંકસંજ્ઞાત્મક
અંકસંજ્ઞાર્હ
અંકસખોર
અંકસમાપ્તિ
અંકસી
અંકસ્થ
અંકસ્થિત
અંકહર
અંકહરણ
અંકા
અંકાઈ
અંકાકાર
અંકાબૂત
અંકામણ
અંકામણી
અંકાર
અંકાવ
અંકાવતાર
અંકાવર્ત
અંકાવળી
અંકાવવું
અંકાવું
અંકાશા
અંકાસ્થિ
અંકાસ્ય
અંકિકા
અંકિત
અંકિતપાત્ર
અંકિતમૂલ્ય
અંકિની
અંકી
