ઔ
ઔંગી
ઔંઠ
ઔંડા
ઔંડાઈ
ઔંડ્રપુષ્પ
ઔંડ્રમ્લેચ્છ
ઔંતવું
ઔંધા
ઔંધાવવું
ઔંલા
ઔંલાજૌંલા
ઔંલાસાર
ઔંસ
ઔંસમેઝર
ઔક
ઔકલ
ઔકશુમા
ઔકાત
ઔકાર
ઔકારાંત
ઔકાલ
ઔકાલી
ઔક્તિક
ઔક્થ
ઔક્થિક
ઔક્થિક્ય
ઔક્ષ
ઔક્ષક
ઔક્ષગંધી
ઔક્ષણસ
ઔક્ષી
ઔક્ષ્ણ
ઔખત
ઔખદ
ઔખદી
ઔખધ
ઔખધિયા
ઔખર
ઔખા
ઔખાધ
ઔખી
ઔખેય
ઔખેસ
ઔખ્ય
ઔગટ
ઔગત
ઔગભ્રિક
ઔગલ
ઔગાહ
ઔગી
ઔગુણ
ઔગુન
ઔગુની
ઔગુલ
ઔગ્ય
ઔગ્રસેની
ઔઘ
ઔઘટ
ઔઘટઘાટ
ઔઘટઘાટી
ઔઘડ
ઔઘરથ
ઔચક
ઔચટ
ઔચથ્ય
ઔચિતી
ઔચિત્ય
ઔચિત્યજ્ઞ
ઔચિત્યબુદ્ધિ
ઔચિત્યભંગ
ઔચિત્યવિજ્ઞાન
ઔચિત્યવિજ્ઞાનશાસ્ત્ર
ઔચિત્યસાધન
ઔચેયુ
ઔચૈઃશ્રવસ
ઔછ
ઔજ
ઔજકમાલ
ઔજમૌજ
ઔજસ
ઔજસિક
ઔજસ્ય
ઔજાર
ઔજ્જવલ્ય
ઔઝ
ઔઝડ
ઔઝા
ઔઝાન
ઔઝાર
ઔટ
ઔટન
ઔટની
ઔટવું
ઔટાવની
ઔટાવવું
ઔઠ
ઔડવ
ઔડવ વક્ર
ઔડવ-ઔડવ
ઔડવ-ષાડવ
ઔડવ-સંપૂર્ણ
ઔડવરાગ
ઔડવિ
ઔડુંબર
ઔડુપિક
ઔડુલોમિ
ઔડ્રપુષ્પ
ઔઢંગા
ઔણક
ઔત
ઔતત્થય
ઔતથ્ય
ઔતથ્ય દીર્ઘતમ
ઔતથ્ય દીર્ઘતમા
ઔતરવું
ઔતા
ઔતાર
ઔત્કંઠય
ઔત્કર્ષ
ઔત્કર્ષ્ય
ઔત્ક્ષેપ
ઔત્તમ
ઔત્તમિ
ઔત્તમિક
ઔત્તમી
ઔત્તમીમન્વંતર
ઔત્તર
ઔત્તરતેજ
ઔત્તરપર્વતક
ઔત્તરેય
ઔત્તાનપાદ
ઔત્તાનપાદિ
ઔત્પાતિક
ઔત્પાદ
ઔત્સ
ઔત્સંગિક
ઔત્સર્ગિક
ઔત્સવિક
ઔત્સુક્ય
ઔત્સુક્યપોષિત
ઔત્સુક્યસંચારી
ઔદ
ઔદંબરી
ઔદક
ઔદકિ
ઔદકીય
ઔદનિક
ઔદન્ય
ઔદમબર
ઔદયકા
ઔદયિક
ઔદયિકભાવ
ઔદરિક
ઔદરી
ઔદરીય ગુલ્મ
ઔદરોરસી
ઔદર્ય
ઔદર્યતેજ
ઔદર્યાકલા
ઔદર્યાધમની
ઔદર્ય્ય ધમની
ઔદલ
ઔદવાપિ
ઔદવાહિ
ઔદશ્વિત
ઔદસ
ઔદાત
ઔદાન
ઔદાયિક
ઔદારિક
ઔદારિકાંગોપાંગ
ઔદાર્ય
ઔદાર્યતા
ઔદાર્યવૃતિ
ઔદાર્યશાળી
ઔદાલક
ઔદાસ
ઔદાસીન્ય
